"","var","pcc"
"1","PFAC",-0.0101120964653143
"2","ANETD",0.00521244703931845
"3","uslek",0.00541830772220983
"4","uslels",0.00418948213224727
"5","uslep",0.00878083524846905
"6","slp",0.000939256413920184
"7","hl",-0.00413968926276769
"8","CN_c",-0.00525793402552295
"9","uslec_c",-0.00538624463408871
"10","MNGN",-0.0277655012455029
"11","bd1",0.0103243721074703
"12","fc",-0.0074451318364988
"13","WP",0.0119443172915418
"14","OC",0.0115624530732627
"15","app_rate",0.0324294068225474
"16","DWRATE",0.0156566222155487
"17","DSRATE",0.0156566222155487
"18","kd",-0.00525621174267891
"19","aer_aq",-0.00919794016917889
"20","temp_ref_aer",-0.000407087793045771
"21","anae_aq",-0.0158190738461736
"22","temp_ref_anae",0.00508138165400991
"23","photo",-0.0197706656574365
"24","RFLAT",-0.00242636590069067
"25","hydro",0.00594670086498856
"26","SOL",-0.00249239373091015
"27","benthic_depth",0.0125326808758671
"28","porosity",0.00659027667510103
"29","bulk_density",0.0058166035181837
"30","FROC2",0.00164481353280501
"31","DOC2",0.00765908376003032
"32","BNMAS",-0.015148449780102
"33","SUSED",-0.0199045414321051
"34","CHL",0.00589340015883399
"35","FROC1",0.00780409876488631
"36","DOC1",-0.0227633754464923
"37","PLMAS",-0.0182796100012184
"38","bf",-0.00642378482858314
