"","var","pcc"
"1","PFAC",-0.000648237604356941
"2","ANETD",-0.0491950335066731
"3","uslek",0.0443841769395452
"4","uslels",0.0939064376110792
"5","uslep",-0.0410512125394058
"6","slp",-0.0233433467650814
"7","hl",0.0214876728284773
"8","CN_c",0.951088730888967
"9","uslec_c",0.00917442901820554
"10","MNGN",0.00564245387071806
"11","bd1",0.0261420924235368
"12","fc",0.624889368665272
"13","WP",-0.380904634581993
"14","OC",0.00623682629819588
"15","dep",0.0736832958439928
"16","app_rate",-0.0651864374155452
"17","app_eff",-0.0922081169217133
"18","DWRATE",-0.0895855487926902
"19","DSRATE",-0.0895855487926902
"20","kd",-0.068830395456973
"21","aer_aq",-0.03409495807219
"22","temp_ref_aer",0.0165014667089145
"23","anae_aq",0.0378727943945928
"24","temp_ref_anae",-0.0210088081162872
"25","photo",-0.0771835308424682
"26","RFLAT",0.0796952329186307
"27","hydro",0.0859026277765036
"28","SOL",0.0351104217695427
"29","benthic_depth",0.0134777052405045
"30","porosity",0.0034734638698434
"31","bulk_density",0.0391518892158711
"32","FROC2",-0.00932220064975929
"33","DOC2",0.0574635071385634
"34","BNMAS",-0.024267763893446
"35","SUSED",-0.0533051934024336
"36","CHL",-0.0972034382541669
"37","FROC1",-0.0970655466254729
"38","DOC1",0.0238385411628941
"39","PLMAS",-0.00513764969290854
"40","bf",0.00781495450892378
