"month","year","bif_kg"
1,2009,56.0483896797712
2,2009,67.0112906976168
3,2009,88.3724209513016
4,2009,118.591787656151
5,2009,91.8506474146376
6,2009,102.042824660015
7,2009,127.573233896482
8,2009,109.856378792997
9,2009,123.589459776231
10,2009,72.6614384896664
11,2009,77.269787742712
12,2009,36.6031644579502
1,2010,48.2189035133424
2,2010,45.3759416724872
3,2010,63.5206069650296
4,2010,61.9554076918979
5,2010,107.378936853229
6,2010,87.7193825077376
7,2010,63.24436828037
8,2010,50.5341504748065
9,2010,107.283537869132
10,2010,69.523729006514
11,2010,40.4110262883568
12,2010,155.333681676017
1,2011,171.551238713247
2,2011,165.072089820934
3,2011,161.583426863386
4,2011,177.045023908183
5,2011,165.841923419102
6,2011,209.655836363035
7,2011,55.7373727447674
8,2011,185.063050043685
9,2011,500.465886397115
10,2011,169.365939967622
11,2011,163.223186813835
12,2011,142.581474659433
1,2012,184.031255957048
2,2012,137.70353895685
3,2012,78.5704351336
4,2012,75.6190627182216
5,2012,148.66558711741
6,2012,128.760941406218
7,2012,76.0671598004074
8,2012,429.093289369054
9,2012,77.7620456575134
10,2012,55.5698725000005
11,2012,73.017000263737
12,2012,54.2169148203648
1,2013,42.0495735379146
2,2013,58.800680316874
3,2013,69.5145508672288
4,2013,128.600091840753
5,2013,95.2228544862531
6,2013,85.3122887227755
7,2013,195.522011823704
8,2013,91.5690614790394
9,2013,55.7153014751423
10,2013,47.2600135497522
11,2013,55.8251319876701
12,2013,46.7306483756594
1,2014,42.3653926967815
2,2014,40.2341804290664
3,2014,20.8993435562866
4,2014,92.0932048748128
5,2014,54.4916370789296
6,2014,45.5951771103128
7,2014,49.0433887877314
8,2014,190.779838070985
9,2014,93.9606757656854
10,2014,172.748524090218
11,2014,62.3396715747816
12,2014,37.3880617285047
